date,month,cat,q,side,mkt,cost,pmod,stake,won,pnl,clv,end
2026-03-17,2026-03,politics,Will Benoît Payan win the Marseille mayor election?,YES,0.905,0.91,0.949,193.93,1,19.18,0.065,2026-03-22T00:00:00Z
2026-03-17,2026-03,politics,Will Jean-Michel Aulas win the 2026 Lyon mayoral election?,NO,0.83,0.838,0.887,194.32,1,37.57,0.0075,2026-03-22T00:00:00Z
2026-03-17,2026-03,politics,Will Robert Golob be the next Prime Minister of Slovenia?,NO,0.805,0.813,0.863,195.07,1,44.87,-0.128,2026-03-22T00:00:00Z
2026-03-17,2026-03,politics,Will Janez Janša be the next Prime Minister of Slovenia?,YES,0.735,0.747,0.79,195.97,1,66.37,-0.082,2026-03-22T00:00:00Z
2026-03-17,2026-03,politics,Will Anže Logar be the next Prime Minister of Slovenia?,NO,0.943,0.948,0.974,197.29,1,10.93,0.0345,2026-03-22T00:00:00Z
2026-03-19,2026-03,politics,Will Troels Lund Poulsen be the next prime minister of Denmark after t,NO,0.845,0.853,0.901,197.51,1,34.04,-0.033,2026-03-24T00:00:00Z
2026-03-19,2026-03,politics,Will Lars Løkke Rasmussen be the next prime minister of Denmark after ,NO,0.964,0.969,0.986,198.19,1,6.34,-0.008,2026-03-24T00:00:00Z
2026-03-19,2026-03,politics,Will Mette Frederiksen be the next prime minister of Denmark after the,YES,0.785,0.797,0.843,198.32,1,50.51,-0.032,2026-03-24T00:00:00Z
2026-03-21,2026-03,politics,"Will Trump say ""Third term"" in March?",NO,0.77,0.782,0.828,199.33,1,55.57,0.083,2026-03-31T00:00:00Z
2026-03-21,2026-03,tech_econ,Tesla launches unsupervised full self driving (FSD) by March 31?,YES,0.945,0.95,0.963,200.44,1,10.55,-0.005,2026-03-31T00:00:00Z
2026-03-21,2026-03,geo,Will the US conduct a cyberattack on Iran by March 31?,NO,0.88,0.888,0.916,200.65,1,25.31,0.0795,2026-03-31T00:00:00Z
2026-03-21,2026-03,tech_econ,"GPT-5.3 released by March 31, 2026?",YES,0.95,0.955,0.967,201.16,1,9.59,-0.005,2026-03-31T00:00:00Z
2026-03-21,2026-03,tech_econ,Will Apple be the second-largest company in the world by market cap on,NO,0.62,0.632,0.637,23.44,0,-23.44,-0.6235,2026-03-31T00:00:00Z
2026-03-21,2026-03,geo,Will the U.S. tariff rate on China be between 15% and 25% on March 31?,NO,0.875,0.883,0.912,200.88,1,26.62,0.091,2026-03-31T00:00:00Z
2026-03-21,2026-03,politics,Will Social Democratic Party win the most seats in the Løgting in the ,NO,0.92,0.925,0.96,201.41,1,16.33,0.0645,2026-03-26T00:00:00Z
2026-03-21,2026-03,tech_econ,Will Anthropic have the best AI model for coding on March 31?,NO,0.958,0.963,0.973,201.74,1,7.75,0.0195,2026-03-31T00:00:00Z
2026-03-21,2026-03,geo,Nothing Ever Happens: US Strike Edition,NO,0.695,0.707,0.729,124.93,1,51.77,-0.012,2026-03-31T00:00:00Z
2026-03-21,2026-03,geo,"US strikes Yemen by March 31, 2026?",NO,0.774,0.786,0.814,202.93,1,55.25,-0.1145,2026-03-31T00:00:00Z
2026-03-21,2026-03,politics,2026 U.S. Senate Election: Republican Odds under 40% by March 31?,NO,0.921,0.926,0.961,204.04,1,16.31,0.039,2026-03-31T00:00:00Z
2026-03-22,2026-03,tech_econ,Will USD.AI launch a token by March 31?,YES,0.67,0.682,0.693,59.17,0,-59.17,-0.607,2026-04-01T04:00:00Z
2026-03-26,2026-03,geo,Nothing Ever Happens: US Strike Edition,NO,0.695,0.707,0.729,125.72,1,52.1,-0.012,2026-03-31T00:00:00Z
2026-03-26,2026-03,tech_econ,Will Anthropic have the best AI model for coding on March 31?,NO,0.952,0.957,0.968,204.22,1,9.29,0.026,2026-03-31T00:00:00Z
2026-03-26,2026-03,politics,Will Trump talk to Xi Jinping in March?,NO,0.855,0.863,0.909,5.08,1,0.81,-0.138,2026-03-31T00:00:00Z
2026-03-26,2026-03,tech_econ,"GPT-5.3 released by March 31, 2026?",YES,0.95,0.955,0.967,204.42,1,9.74,-0.005,2026-03-31T00:00:00Z
2026-03-26,2026-03,tech_econ,Will Apple be the second-largest company in the world by market cap on,YES,0.93,0.935,0.951,204.62,1,14.22,0.0565,2026-03-31T00:00:00Z
2026-03-26,2026-03,geo,"US strikes Yemen by March 31, 2026?",NO,0.885,0.893,0.92,204.9,1,24.55,-0.2215,2026-03-31T00:00:00Z
2026-03-26,2026-03,politics,2026 U.S. Senate Election: Republican Odds under 40% by March 31?,NO,0.946,0.951,0.976,205.39,1,10.58,0.014,2026-03-31T00:00:00Z
2026-03-27,2026-03,tech_econ,Will USD.AI launch a token by March 31?,NO,0.755,0.767,0.785,131.41,1,39.92,0.158,2026-04-01T04:00:00Z
2026-03-28,2026-03,geo,US x Iran ceasefire by April 7?,NO,0.855,0.863,0.894,5.75,0,-5.75,0.032,2026-04-07T00:00:00Z
2026-04-02,2026-04,politics,Hungary Election: TISZA wins a constitutional majority?,NO,0.73,0.742,0.767,169.07,0,-169.07,-0.012,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will Tisza win the most national list votes in the 2026 Hungarian parl,YES,0.79,0.802,0.831,202.91,1,50.09,0.043,2026-04-12T00:00:00Z
2026-04-02,2026-04,geo,US x Iran ceasefire by April 7?,NO,0.895,0.903,0.929,198.16,0,-198.16,-0.008,2026-04-07T00:00:00Z
2026-04-02,2026-04,politics,Will Rafael López Aliaga finish in second place in the first round of ,NO,0.7,0.712,0.734,129.25,1,52.28,0.053,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will Tisza win the national list vote in the 2026 Hungarian Parliament,NO,0.61,0.622,0.631,40.15,0,-40.15,-0.112,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will Roberto Sánchez Palomino finish in second place in the first roun,NO,0.91,0.915,0.941,200.19,0,-200.19,-0.048,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will Keiko Fujimori finish in first place in the first round of the 20,NO,0.865,0.873,0.903,196.18,0,-196.18,-0.653,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will Carlos Álvarez win the 2026 Peruvian presidential election?,NO,0.938,0.943,0.963,192.26,1,11.73,-0.114,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will Fidesz–KDNP win the most national list votes in the 2026 Hungaria,NO,0.745,0.757,0.784,175.34,1,56.29,0.073,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will the next Prime Minister of Hungary be Viktor Orbán?,NO,0.655,0.667,0.683,79.33,1,39.6,0.018,2026-04-12T00:00:00Z
2026-04-02,2026-04,politics,Will the next Prime Minister of Hungary be Péter Magyar?,YES,0.635,0.647,0.66,60.88,1,33.21,0.038,2026-04-12T00:00:00Z
2026-04-07,2026-04,politics,Will the next Prime Minister of Hungary be Péter Magyar?,YES,0.655,0.667,0.683,79.92,1,39.9,0.018,2026-04-12T00:00:00Z
2026-04-07,2026-04,politics,Will Carlos Álvarez win the 2026 Peruvian presidential election?,NO,0.684,0.697,0.717,110.04,1,47.95,0.132,2026-04-12T00:00:00Z
2026-04-07,2026-04,politics,Will Rafael López Aliaga finish in second place in the first round of ,NO,0.735,0.747,0.773,167.25,1,56.64,0.018,2026-04-12T00:00:00Z
